vehicleId: 1; start (720;100); startTime: 5353; now (460;100); timecount: 5615; boxId: B359, ;PU
vehicleId: 1; start (460;100); startTime: 5615; now (450;100); timecount: 5627; boxId: B359, ;PL
vehicleId: 0; start (720;100); startTime: 5375; now (460;100); timecount: 5637; boxId: B358, ;PU
vehicleId: 1; start (450;100); startTime: 5627; now (460;100); timecount: 5639; boxId: B357, ;PU
vehicleId: 0; start (460;100); startTime: 5637; now (450;100); timecount: 5649; boxId: B358, ;PL
vehicleId: 1; start (460;100); startTime: 5639; now (450;100); timecount: 5651; boxId: B357, ;PL
vehicleId: 0; start (450;100); startTime: 5649; now (460;100); timecount: 5661; boxId: B356, ;PU
vehicleId: 1; start (450;100); startTime: 5651; now (460;100); timecount: 5663; boxId: B355, ;PU
vehicleId: 0; start (460;100); startTime: 5661; now (450;100); timecount: 5673; boxId: B356, ;PL
vehicleId: 1; start (460;100); startTime: 5663; now (450;100); timecount: 5675; boxId: B355, ;PL
vehicleId: 0; start (450;100); startTime: 5673; now (460;100); timecount: 5685; boxId: B354, ;PU
vehicleId: 1; start (450;100); startTime: 5675; now (460;100); timecount: 5687; boxId: B353, ;PU
vehicleId: 0; start (460;100); startTime: 5685; now (450;100); timecount: 5697; boxId: B354, ;PL
vehicleId: 1; start (460;100); startTime: 5687; now (450;100); timecount: 5699; boxId: B353, ;PL
vehicleId: 0; start (450;100); startTime: 5697; now (460;100); timecount: 5709; boxId: B352, ;PU
vehicleId: 2; start (730;100); startTime: 5363; now (10;100); timecount: 6085; boxId: B620, ;PL
vehicleId: 0; start (460;100); startTime: 5709; now (0;100); timecount: 6171; boxId: B352, ;PL
vehicleId: 1; start (450;100); startTime: 5700; now (950;100); timecount: 6202; boxId: B849, ;PU
vehicleId: 1; start (950;100); startTime: 6202; now (940;100); timecount: 6214; boxId: B849, ;PL
vehicleId: 2; start (10;100); startTime: 6085; now (950;100); timecount: 7027; boxId: B848, ;PU
vehicleId: 2; start (950;100); startTime: 7027; now (940;100); timecount: 7039; boxId: B848, ;PL
vehicleId: 0; start (0;100); startTime: 6171; now (950;100); timecount: 7123; boxId: B847, ;PU
vehicleId: 1; start (940;100); startTime: 6214; now (950;100); timecount: 7124; boxId: B846, ;PU
vehicleId: 2; start (940;100); startTime: 7039; now (950;100); timecount: 7125; boxId: B845, ;PU
vehicleId: 0; start (950;100); startTime: 7123; now (940;100); timecount: 7135; boxId: B847, ;PL
vehicleId: 1; start (950;100); startTime: 7124; now (940;100); timecount: 7136; boxId: B846, ;PL
vehicleId: 2; start (950;100); startTime: 7125; now (940;100); timecount: 7137; boxId: B845, ;PL
vehicleId: 0; start (940;100); startTime: 7135; now (950;100); timecount: 7147; boxId: B844, ;PU
vehicleId: 1; start (940;100); startTime: 7137; now (620;100); timecount: 7459; boxId: B519, ;PU
vehicleId: 2; start (940;100); startTime: 7137; now (620;100); timecount: 7459; boxId: B518, ;PU
vehicleId: 1; start (620;100); startTime: 7459; now (610;100); timecount: 7471; boxId: B519, ;PL
vehicleId: 2; start (620;100); startTime: 7459; now (610;100); timecount: 7471; boxId: B518, ;PL
vehicleId: 1; start (610;100); startTime: 7471; now (620;100); timecount: 7483; boxId: B517, ;PU
vehicleId: 2; start (610;100); startTime: 7471; now (620;100); timecount: 7483; boxId: B516, ;PU
vehicleId: 1; start (620;100); startTime: 7483; now (610;100); timecount: 7495; boxId: B517, ;PL
vehicleId: 2; start (620;100); startTime: 7483; now (610;100); timecount: 7495; boxId: B516, ;PL
vehicleId: 1; start (610;100); startTime: 7495; now (620;100); timecount: 7507; boxId: B515, ;PU
vehicleId: 2; start (610;100); startTime: 7495; now (620;100); timecount: 7507; boxId: B514, ;PU
vehicleId: 1; start (620;100); startTime: 7507; now (610;100); timecount: 7519; boxId: B515, ;PL
vehicleId: 2; start (620;100); startTime: 7507; now (610;100); timecount: 7519; boxId: B514, ;PL
vehicleId: 1; start (610;100); startTime: 7519; now (620;100); timecount: 7531; boxId: B513, ;PU
vehicleId: 2; start (610;100); startTime: 7519; now (620;100); timecount: 7531; boxId: B512, ;PU
vehicleId: 1; start (620;100); startTime: 7531; now (610;100); timecount: 7543; boxId: B513, ;PL
vehicleId: 2; start (620;100); startTime: 7531; now (610;100); timecount: 7543; boxId: B512, ;PL
vehicleId: 1; start (610;100); startTime: 7543; now (620;100); timecount: 7555; boxId: B511, ;PU
vehicleId: 2; start (610;100); startTime: 7543; now (620;100); timecount: 7555; boxId: B510, ;PU
vehicleId: 1; start (620;100); startTime: 7555; now (610;100); timecount: 7567; boxId: B511, ;PL
vehicleId: 1; start (610;100); startTime: 7568; now (430;100); timecount: 7750; boxId: B329, ;PU
vehicleId: 1; start (430;100); startTime: 7750; now (420;100); timecount: 7762; boxId: B329, ;PL
vehicleId: 1; start (420;100); startTime: 7762; now (430;100); timecount: 7774; boxId: B328, ;PU
vehicleId: 0; start (950;100); startTime: 7147; now (10;100); timecount: 8089; boxId: B844, ;PL
vehicleId: 2; start (620;100); startTime: 7555; now (10;100); timecount: 8167; boxId: B510, ;PL
vehicleId: 1; start (430;100); startTime: 7774; now (0;100); timecount: 8206; boxId: B328, ;PL
vehicleId: 0; start (10;100); startTime: 8090; now (190;100); timecount: 8272; boxId: B89, ;PU
vehicleId: 0; start (190;100); startTime: 8272; now (180;100); timecount: 8284; boxId: B89, ;PL
vehicleId: 2; start (10;100); startTime: 8167; now (190;100); timecount: 8349; boxId: B88, ;PU
vehicleId: 2; start (190;100); startTime: 8349; now (180;100); timecount: 8361; boxId: B88, ;PL
vehicleId: 1; start (0;100); startTime: 8206; now (190;100); timecount: 8398; boxId: B87, ;PU
vehicleId: 0; start (180;100); startTime: 8284; now (190;100); timecount: 8400; boxId: B86, ;PU
vehicleId: 2; start (180;100); startTime: 8361; now (190;100); timecount: 8401; boxId: B85, ;PU
vehicleId: 1; start (190;100); startTime: 8398; now (180;100); timecount: 8410; boxId: B87, ;PL
vehicleId: 0; start (190;100); startTime: 8400; now (180;100); timecount: 8412; boxId: B86, ;PL
vehicleId: 2; start (190;100); startTime: 8401; now (180;100); timecount: 8413; boxId: B85, ;PL
vehicleId: 1; start (180;100); startTime: 8410; now (190;100); timecount: 8422; boxId: B84, ;PU
vehicleId: 0; start (180;100); startTime: 8412; now (190;100); timecount: 8424; boxId: B83, ;PU
vehicleId: 2; start (180;100); startTime: 8413; now (190;100); timecount: 8425; boxId: B82, ;PU
vehicleId: 1; start (190;100); startTime: 8422; now (180;100); timecount: 8434; boxId: B84, ;PL
vehicleId: 0; start (190;100); startTime: 8424; now (180;100); timecount: 8436; boxId: B83, ;PL
vehicleId: 2; start (190;100); startTime: 8425; now (180;100); timecount: 8437; boxId: B82, ;PL
vehicleId: 1; start (180;100); startTime: 8434; now (190;100); timecount: 8446; boxId: B81, ;PU
vehicleId: 0; start (180;100); startTime: 8436; now (190;100); timecount: 8448; boxId: B80, ;PU
vehicleId: 1; start (190;100); startTime: 8446; now (180;100); timecount: 8458; boxId: B81, ;PL
vehicleId: 0; start (190;100); startTime: 8448; now (10;100); timecount: 8630; boxId: B80, ;PL
vehicleId: 2; start (180;100); startTime: 8438; now (390;100); timecount: 8650; boxId: B289, ;PU
vehicleId: 2; start (390;100); startTime: 8650; now (380;100); timecount: 8662; boxId: B289, ;PL
vehicleId: 1; start (180;100); startTime: 8458; now (390;100); timecount: 8670; boxId: B288, ;PU
vehicleId: 1; start (390;100); startTime: 8670; now (10;100); timecount: 9052; boxId: B288, ;PL
vehicleId: 0; start (10;100); startTime: 8631; now (980;100); timecount: 9603; boxId: B879, ;PU
vehicleId: 2; start (380;100); startTime: 8662; now (980;100); timecount: 9604; boxId: B878, ;PU
vehicleId: 0; start (980;100); startTime: 9603; now (970;100); timecount: 9615; boxId: B879, ;PL
vehicleId: 2; start (980;100); startTime: 9604; now (970;100); timecount: 9616; boxId: B878, ;PL
vehicleId: 1; start (10;100); startTime: 9052; now (980;100); timecount: 10024; boxId: B877, ;PU
vehicleId: 0; start (970;100); startTime: 9615; now (980;100); timecount: 10025; boxId: B876, ;PU
vehicleId: 1; start (980;100); startTime: 10024; now (970;100); timecount: 10036; boxId: B877, ;PL
vehicleId: 2; start (970;100); startTime: 9617; now (180;100); timecount: 10409; boxId: B81, ;PU
vehicleId: 2; start (180;100); startTime: 10409; now (170;100); timecount: 10421; boxId: B81, ;PL
vehicleId: 1; start (970;100); startTime: 10036; now (180;100); timecount: 10828; boxId: B82, ;PU
vehicleId: 2; start (170;100); startTime: 10421; now (180;100); timecount: 10829; boxId: B83, ;PU
vehicleId: 1; start (180;100); startTime: 10828; now (170;100); timecount: 10840; boxId: B82, ;PL
vehicleId: 2; start (180;100); startTime: 10829; now (170;100); timecount: 10841; boxId: B83, ;PL
vehicleId: 1; start (170;100); startTime: 10840; now (180;100); timecount: 10852; boxId: B84, ;PU
vehicleId: 2; start (170;100); startTime: 10841; now (180;100); timecount: 10853; boxId: B85, ;PU
vehicleId: 1; start (180;100); startTime: 10852; now (170;100); timecount: 10864; boxId: B84, ;PL
vehicleId: 2; start (180;100); startTime: 10853; now (170;100); timecount: 10865; boxId: B85, ;PL
vehicleId: 1; start (170;100); startTime: 10864; now (180;100); timecount: 10876; boxId: B86, ;PU
vehicleId: 2; start (170;100); startTime: 10865; now (180;100); timecount: 10877; boxId: B87, ;PU
vehicleId: 1; start (180;100); startTime: 10876; now (170;100); timecount: 10888; boxId: B86, ;PL
vehicleId: 2; start (180;100); startTime: 10877; now (170;100); timecount: 10889; boxId: B87, ;PL
vehicleId: 1; start (170;100); startTime: 10888; now (180;100); timecount: 10900; boxId: B88, ;PU
vehicleId: 2; start (170;100); startTime: 10889; now (180;100); timecount: 10901; boxId: B89, ;PU
vehicleId: 1; start (180;100); startTime: 10900; now (170;100); timecount: 10912; boxId: B88, ;PL
vehicleId: 2; start (180;100); startTime: 10901; now (170;100); timecount: 10913; boxId: B89, ;PL
vehicleId: 1; start (170;100); startTime: 10912; now (180;100); timecount: 10924; boxId: B79, ;PU
vehicleId: 2; start (170;100); startTime: 10913; now (180;100); timecount: 10925; boxId: B78, ;PU
vehicleId: 1; start (180;100); startTime: 10924; now (170;100); timecount: 10936; boxId: B79, ;PL
vehicleId: 2; start (180;100); startTime: 10925; now (190;100); timecount: 10937; boxId: B78, ;PL
vehicleId: 1; start (170;100); startTime: 10936; now (180;100); timecount: 10948; boxId: B77, ;PU
vehicleId: 2; start (190;100); startTime: 10937; now (180;100); timecount: 10949; boxId: B76, ;PU
vehicleId: 1; start (180;100); startTime: 10948; now (190;100); timecount: 10960; boxId: B77, ;PL
vehicleId: 0; start (980;100); startTime: 10025; now (10;100); timecount: 10997; boxId: B876, ;PL
vehicleId: 2; start (180;100); startTime: 10949; now (10;100); timecount: 11121; boxId: B76, ;PL
vehicleId: 0; start (10;100); startTime: 10998; now (290;100); timecount: 11280; boxId: B189, ;PU
vehicleId: 0; start (290;100); startTime: 11280; now (280;100); timecount: 11292; boxId: B189, ;PL
vehicleId: 2; start (10;100); startTime: 11121; now (290;100); timecount: 11403; boxId: B188, ;PU
vehicleId: 0; start (280;100); startTime: 11292; now (290;100); timecount: 11404; boxId: B187, ;PU
vehicleId: 2; start (290;100); startTime: 11403; now (280;100); timecount: 11415; boxId: B188, ;PL
vehicleId: 0; start (290;100); startTime: 11404; now (280;100); timecount: 11416; boxId: B187, ;PL
vehicleId: 2; start (280;100); startTime: 11415; now (290;100); timecount: 11427; boxId: B186, ;PU
vehicleId: 1; start (190;100); startTime: 10960; now (860;100); timecount: 11632; boxId: B759, ;PU
vehicleId: 2; start (290;100); startTime: 11427; now (0;100); timecount: 11719; boxId: B186, ;PL
vehicleId: 0; start (280;100); startTime: 11416; now (630;100); timecount: 11768; boxId: B529, ;PU
vehicleId: 2; start (0;100); startTime: 11720; now (530;100); timecount: 12252; boxId: B429, ;PU
vehicleId: 2; start (530;100); startTime: 12252; now (520;100); timecount: 12264; boxId: B429, ;PL
vehicleId: 2; start (520;100); startTime: 12264; now (530;100); timecount: 12276; boxId: B428, ;PU
vehicleId: 2; start (530;100); startTime: 12276; now (520;100); timecount: 12288; boxId: B428, ;PL
vehicleId: 2; start (520;100); startTime: 12288; now (530;100); timecount: 12300; boxId: B427, ;PU
vehicleId: 2; start (530;100); startTime: 12300; now (520;100); timecount: 12312; boxId: B427, ;PL
vehicleId: 2; start (520;100); startTime: 12312; now (530;100); timecount: 12324; boxId: B426, ;PU
vehicleId: 2; start (530;100); startTime: 12324; now (520;100); timecount: 12336; boxId: B426, ;PL
vehicleId: 2; start (520;100); startTime: 12336; now (530;100); timecount: 12348; boxId: B425, ;PU
vehicleId: 2; start (530;100); startTime: 12348; now (520;100); timecount: 12360; boxId: B425, ;PL
vehicleId: 2; start (520;100); startTime: 12360; now (530;100); timecount: 12372; boxId: B424, ;PU
vehicleId: 2; start (530;100); startTime: 12372; now (520;100); timecount: 12384; boxId: B424, ;PL
vehicleId: 0; start (630;100); startTime: 11768; now (10;100); timecount: 12390; boxId: B529, ;PL
vehicleId: 2; start (520;100); startTime: 12384; now (530;100); timecount: 12396; boxId: B423, ;PU
vehicleId: 1; start (860;100); startTime: 11632; now (0;100); timecount: 12494; boxId: B759, ;PL
vehicleId: 0; start (10;100); startTime: 12391; now (410;100); timecount: 12793; boxId: B309, ;PU
vehicleId: 0; start (410;100); startTime: 12793; now (400;100); timecount: 12805; boxId: B309, ;PL
vehicleId: 1; start (0;100); startTime: 12494; now (410;100); timecount: 12906; boxId: B308, ;PU
vehicleId: 0; start (400;100); startTime: 12805; now (410;100); timecount: 12907; boxId: B307, ;PU
vehicleId: 1; start (410;100); startTime: 12906; now (400;100); timecount: 12918; boxId: B308, ;PL
vehicleId: 2; start (530;100); startTime: 12396; now (10;100); timecount: 12918; boxId: B423, ;PL
vehicleId: 0; start (410;100); startTime: 12907; now (400;100); timecount: 12919; boxId: B307, ;PL
vehicleId: 1; start (400;100); startTime: 12918; now (410;100); timecount: 12930; boxId: B306, ;PU
vehicleId: 1; start (410;100); startTime: 12930; now (400;100); timecount: 12942; boxId: B306, ;PL
vehicleId: 2; start (10;100); startTime: 12918; now (410;100); timecount: 13320; boxId: B305, ;PU
vehicleId: 0; start (400;100); startTime: 12919; now (410;100); timecount: 13321; boxId: B304, ;PU
vehicleId: 1; start (400;100); startTime: 12942; now (410;100); timecount: 13322; boxId: B303, ;PU
vehicleId: 2; start (410;100); startTime: 13320; now (400;100); timecount: 13332; boxId: B305, ;PL
vehicleId: 0; start (410;100); startTime: 13321; now (400;100); timecount: 13333; boxId: B304, ;PL
vehicleId: 1; start (410;100); startTime: 13322; now (400;100); timecount: 13334; boxId: B303, ;PL
vehicleId: 2; start (400;100); startTime: 13332; now (410;100); timecount: 13344; boxId: B302, ;PU
vehicleId: 0; start (400;100); startTime: 13333; now (410;100); timecount: 13345; boxId: B301, ;PU
vehicleId: 1; start (400;100); startTime: 13334; now (410;100); timecount: 13346; boxId: B300, ;PU
vehicleId: 2; start (410;100); startTime: 13344; now (400;100); timecount: 13356; boxId: B302, ;PL
vehicleId: 0; start (410;100); startTime: 13345; now (400;100); timecount: 13357; boxId: B301, ;PL
vehicleId: 0; start (400;100); startTime: 13357; now (390;100); timecount: 13369; boxId: B287, ;PU
vehicleId: 2; start (400;100); startTime: 13357; now (390;100); timecount: 13369; boxId: B286, ;PU
vehicleId: 0; start (390;100); startTime: 13369; now (380;100); timecount: 13381; boxId: B287, ;PL
vehicleId: 2; start (390;100); startTime: 13369; now (380;100); timecount: 13381; boxId: B286, ;PL
vehicleId: 0; start (380;100); startTime: 13381; now (390;100); timecount: 13393; boxId: B285, ;PU
vehicleId: 2; start (380;100); startTime: 13381; now (390;100); timecount: 13393; boxId: B284, ;PU
vehicleId: 0; start (390;100); startTime: 13393; now (380;100); timecount: 13405; boxId: B285, ;PL
vehicleId: 2; start (390;100); startTime: 13393; now (380;100); timecount: 13405; boxId: B284, ;PL
vehicleId: 0; start (380;100); startTime: 13405; now (390;100); timecount: 13417; boxId: B283, ;PU
vehicleId: 2; start (380;100); startTime: 13405; now (390;100); timecount: 13417; boxId: B282, ;PU
vehicleId: 0; start (390;100); startTime: 13417; now (380;100); timecount: 13429; boxId: B283, ;PL
vehicleId: 1; start (410;100); startTime: 13346; now (0;100); timecount: 13758; boxId: B300, ;PL
vehicleId: 2; start (390;100); startTime: 13417; now (10;100); timecount: 13799; boxId: B282, ;PL
vehicleId: 0; start (380;100); startTime: 13430; now (900;100); timecount: 13952; boxId: B798, ;PU
vehicleId: 0; start (900;100); startTime: 13952; now (890;100); timecount: 13964; boxId: B798, ;PL
vehicleId: 1; start (0;100); startTime: 13758; now (900;100); timecount: 14660; boxId: B797, ;PU
vehicleId: 1; start (900;100); startTime: 14660; now (890;100); timecount: 14672; boxId: B797, ;PL
vehicleId: 2; start (10;100); startTime: 13799; now (900;100); timecount: 14691; boxId: B796, ;PU
vehicleId: 0; start (890;100); startTime: 13964; now (900;100); timecount: 14692; boxId: B795, ;PU
vehicleId: 1; start (890;100); startTime: 14672; now (900;100); timecount: 14692; boxId: B794, ;PU
vehicleId: 2; start (900;100); startTime: 14691; now (890;100); timecount: 14703; boxId: B796, ;PL
vehicleId: 0; start (900;100); startTime: 14692; now (890;100); timecount: 14704; boxId: B795, ;PL
vehicleId: 1; start (900;100); startTime: 14692; now (890;100); timecount: 14704; boxId: B794, ;PL
vehicleId: 2; start (890;100); startTime: 14703; now (900;100); timecount: 14715; boxId: B793, ;PU
vehicleId: 0; start (890;100); startTime: 14704; now (900;100); timecount: 14716; boxId: B792, ;PU
vehicleId: 1; start (890;100); startTime: 14704; now (900;100); timecount: 14716; boxId: B791, ;PU
vehicleId: 2; start (900;100); startTime: 14715; now (890;100); timecount: 14727; boxId: B793, ;PL
vehicleId: 0; start (900;100); startTime: 14716; now (890;100); timecount: 14728; boxId: B792, ;PL
vehicleId: 0; start (890;100); startTime: 14728; now (840;100); timecount: 14780; boxId: B739, ;PU
vehicleId: 2; start (890;100); startTime: 14728; now (840;100); timecount: 14780; boxId: B738, ;PU
vehicleId: 0; start (840;100); startTime: 14780; now (830;100); timecount: 14792; boxId: B739, ;PL
vehicleId: 2; start (840;100); startTime: 14780; now (830;100); timecount: 14792; boxId: B738, ;PL
vehicleId: 0; start (830;100); startTime: 14792; now (840;100); timecount: 14804; boxId: B737, ;PU
vehicleId: 2; start (830;100); startTime: 14792; now (840;100); timecount: 14804; boxId: B736, ;PU
vehicleId: 0; start (840;100); startTime: 14804; now (830;100); timecount: 14816; boxId: B737, ;PL
vehicleId: 0; start (830;100); startTime: 14816; now (840;100); timecount: 14828; boxId: B735, ;PU
vehicleId: 1; start (900;100); startTime: 14716; now (0;100); timecount: 15618; boxId: B791, ;PL
vehicleId: 2; start (840;100); startTime: 14804; now (0;100); timecount: 15646; boxId: B736, ;PL
vehicleId: 0; start (840;100); startTime: 14828; now (0;100); timecount: 15670; boxId: B735, ;PL
vehicleId: 1; start (0;100); startTime: 15619; now (160;100); timecount: 15781; boxId: B59, ;PU
vehicleId: 1; start (160;100); startTime: 15781; now (150;100); timecount: 15793; boxId: B59, ;PL
vehicleId: 2; start (0;100); startTime: 15646; now (160;100); timecount: 15808; boxId: B58, ;PU
